1,Addictologie
2,Algologie
3,Allergologie
4,Anesthésie-Réanimation
5,Cancérologie
6,Cardio-vasculaire HTA
7,Chirurgie
8,Dermatologie
9,Diabétologie-Endocrinologie
10,Génétique
11,Gériatrie
12,Gynécologie-Obstétrique
13,Hématologie
14,Hépato
15,gastro-entérologie
16,Imagerie médicale
17,Immunologie
18,Infectiologie
19,Médecine du sport
20,Médecine du travail
21,Médecine générale
22,Médecine légale
23,Médecine physique et de réadaptation
24,Néphrologie
25,Neurologie
26,Nutrition
27,Ophtalmologie
28,ORL
29,Pédiatrie
30,Pneumologie
31,Psychiatrie
32,Rhumatologie
33,Sexologie
34,Toxicologie
35,Urologie
36,Psycholigue
37,Dentiste